task,algorithm,candidate,seed,best_cost,time_seconds,iterations,horizon,samples,randomizations,knots,spline,frequency,max_episode_steps,base_noise,parameters
humanoid_standup,cbo,1,101,22.99154281616211,0.1135063306428492,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":1.0,""noise_weight"":7.0,""step_size"":0.1,""temperature_scale"":1.0}"
humanoid_standup,cbo,2,100,24.784658432006836,0.1220480790361762,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
humanoid_standup,cbo,2,101,24.127826690673828,0.11516752000898123,5,0.6,128,4,4,zero,50.0,30,0.3,"{""consensus_weight"":2.0,""noise_weight"":3.0,""step_size"":0.05,""temperature_scale"":10.0}"
humanoid_standup,mppi_cma,0,100,23.571062088012695,0.12216922780498862,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
humanoid_standup,mppi_cma,0,101,22.453479766845703,0.11563049163669348,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.25,""temperature_scale"":0.1}"
humanoid_standup,mppi_cma,1,100,24.505046844482422,0.1148149729706347,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
humanoid_standup,mppi_cma,1,101,22.394256591796875,0.1132266242057085,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.1,""minimum_noise_ratio"":0.5,""temperature_scale"":1.0}"
humanoid_standup,mppi_cma,2,100,23.85470962524414,0.13298130733892322,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
humanoid_standup,mppi_cma,2,101,24.170257568359375,0.11337116826325655,5,0.6,128,4,4,zero,50.0,30,0.3,"{""adaptation_rate"":0.2,""minimum_noise_ratio"":1.0,""temperature_scale"":10.0}"
humanoid_standup,cmaes,0,100,25.169631958007812,0.12212067656219006,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,0,101,25.194778442382812,0.11758732004091144,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":0.5,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,1,100,23.096532821655273,0.12196273077279329,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,1,101,24.71328353881836,0.11817879183217883,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.0}"
humanoid_standup,cmaes,2,100,23.879009246826172,0.11915927194058895,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
humanoid_standup,cmaes,2,101,25.159013748168945,0.11798932403326035,5,0.6,128,4,4,zero,50.0,30,0.3,"{""c_mean"":1.0,""std_max_ratio"":100.0,""std_min_ratio"":0.1}"
humanoid_standup,cem,0,100,22.749195098876953,0.12173730926588178,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
humanoid_standup,cem,0,101,22.53338623046875,0.11741035711020231,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.05,""explore_fraction"":0.0,""sigma_min_ratio"":0.1}"
humanoid_standup,cem,1,100,24.210018157958984,0.12145688105374575,5,0.6,128,4,4,zero,50.0,30,0.3,"{""elite_fraction"":0.1,""explore_fraction"":0.25,""sigma_min_ratio"":0.25}"
