task,algorithm,nominal_operations,actual_operations,iterations,samples,seed,episode_cost,planning_time_seconds,segment_horizon,total_horizon,execution_fraction,execution_horizon,planning_calls,randomizations,knots,spline,frequency,max_episode_steps,base_noise,candidate,parameters
double_cart_pole,cbo,2048,2048,4,512,1,1783.4852294921875,1.2429348127916455,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,4,512,2,1700.091796875,1.2434520069509745,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,4,512,3,1706.928955078125,1.242235911078751,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,4,512,4,1052.279052734375,1.243524516467005,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,8,256,0,3107.167724609375,2.312681523617357,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,8,256,1,2325.992919921875,2.3033034703694284,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,8,256,2,3269.099853515625,2.3047530413605273,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,8,256,3,3363.4111328125,2.301707510370761,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,8,256,4,1614.4345703125,2.303197455126792,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,16,128,0,2799.485107421875,4.54810934048146,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,16,128,1,4579.93115234375,4.5481366529129446,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,16,128,2,3187.283447265625,4.548416381701827,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,16,128,3,3008.695068359375,4.545682804193348,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,2048,2048,16,128,4,3905.046142578125,4.546479218173772,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,1,1024,0,1765.0274658203125,0.34208376519382,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,1,1024,1,1808.333251953125,0.33282388327643275,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,1,1024,2,1898.0726318359375,0.3341842358931899,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,1,1024,3,1744.38916015625,0.3328291601501405,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,1,1024,4,1628.4178466796875,0.33334363531321287,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,2,512,0,1610.55517578125,0.6341571537777781,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,2,512,1,2174.9990234375,0.6275853831321001,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,2,512,2,1550.070068359375,0.622895881999284,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,2,512,3,1580.669189453125,0.6253725765272975,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,2,512,4,1246.289306640625,0.6224155090749264,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,4,256,0,1680.9527587890625,1.172613376751542,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,4,256,1,1215.3763427734375,1.1593503155745566,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,4,256,2,1683.953369140625,1.1575552080757916,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,4,256,3,1600.7923583984375,1.158345100004226,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,4,256,4,1245.2177734375,1.1592894969508052,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
double_cart_pole,cbo,1024,1024,8,128,0,1938.9691162109375,2.278928448446095,1.0,10.0,0.5,0.5,20,1,6,cubic,100.0,1000,0.3,0,"{""consensus_weight"":1.0,""noise_weight"":3.0,""step_size"":0.1,""temperature_scale"":0.1}"
